CG/TG,CONSUMER_ID,PRODUCT_ID,PRICE,TRX_DATE,Offer_Type,Type,Validity,Voice_Benefit,Data_Benefit,Voice_Price,Data_Price,Combo_Price,Product_Description
TG,1.55E+11,P151,350,22-03-2022,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,34359781746,P151,389,24-05-2022,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,68719512208,P151,253,19-05-2022,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.20E+11,P151,385,20-01-2022,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.20E+11,P151,190,13-04-2022,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.46E+11,P151,213,27-01-2022,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,68719513410,P151,409,03-05-2022,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,77309411451,P151,136,17-01-2022,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,94489303145,P151,428,01-04-2022,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,8589977412,P151,172,24-01-2022,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,77309425809,P151,222,15-03-2022,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,8589945973,P151,50,31-01-2022,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,42949682679,P151,191,21-01-2022,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,25210,P151,459,19-01-2022,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.46E+11,P151,326,23-02-2022,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.63E+11,P151,202,20-03-2022,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,60129570610,P151,223,17-02-2022,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.37E+11,P151,78,21-02-2022,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
CG,1.46E+11,P151,15,21-05-2022,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,34359740345,P151,356,02-02-2022,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
TG,1.20E+11,P151,466,20-04-2022,Open,Voice,Weekly,432,0,288,0,0,70 Local+National SMS_7D
